Year,Hurricanes,Droughts,Floods,Wildfires
1851,3,,,
1852,5,,,
1853,4,,,
1854,3,,,
1855,4,,,
1856,4,,,
1857,3,,,
1858,6,,,
1859,7,,,
1860,6,,,
1861,6,,,
1862,3,,,
1863,5,,,
1864,3,,,
1865,3,,,
1866,6,,,
1867,7,,,
1868,3,,,
1869,7,,,
1870,10,,,
1871,6,,,
1872,4,,,
1873,3,,,
1874,4,,,
1875,5,,,
1876,4,,,
1877,3,,,
1878,10,,,
1879,6,,,
1880,9,,,
1881,4,,,
1882,4,,,
1883,3,,,
1884,4,,,
1885,6,,,
1886,10,,,
1887,11,,,
1888,6,,,
1889,6,,,
1890,2,,,
1891,7,,,
1892,5,,,
1893,10,,,
1894,5,,,
1895,2,,,
1896,6,,,
1897,3,,,
1898,5,,,
1899,5,,,
1900,3,2,1,
1901,6,,,
1902,3,,,
1903,7,1,2,
1904,4,,,
1905,1,,,
1906,6,1,2,
1907,0,,,
1908,6,,,
1909,6,,,
1910,3,9,1,
1911,3,,1,1
1912,4,,1,
1913,4,,,
1914,0,,,
1915,5,,1,
1916,10,,,
1917,2,,1,
1918,4,,,1
1919,2,1,,
1920,4,2,1,
1921,5,1,,
1922,3,,,1
1923,4,,,
1924,5,,1,
1925,1,,4,
1926,8,,2,
1927,4,,2,
1928,4,1,,
1929,3,,1,1
1930,2,,1,
1931,3,1,,
1932,6,,2,
1933,11,1,,
1934,7,,,
1935,5,,1,
1936,7,,1,
1937,4,,1,
1938,4,,3,
1939,3,,3,1
1940,6,9,1,
1941,4,,,
1942,4,1,,
1943,5,1,2,
1944,8,,,2
1945,5,,,
1946,3,1,,
1947,5,1,1,1
1948,6,,5,
1949,7,,2,1
1950,11,,10,
1951,8,,7,
1952,6,,4,
1953,6,,12,
1954,8,,9,
1955,9,,3,
1956,4,,9,1
1957,3,,11,
1958,7,,3,
1959,7,,13,
1960,4,1,7,
1961,8,1,8,
1962,3,,8,
1963,7,1,8,
1964,6,7,22,
1965,4,7,19,1
1966,7,9,23,1
1967,6,5,26,2
1968,4,7,20,3
1969,12,10,14,2
1970,5,2,31,3
1971,6,7,15,2
1972,3,7,15,3
1973,4,2,20,3
1974,4,4,19,3
1975,6,1,17,2
1976,6,6,17,1
1977,5,16,48,2
1978,5,9,47,3
1979,5,11,34,4
1980,9,14,39,4
1981,7,13,43,4
1982,2,13,48,3
1983,3,32,49,12
1984,5,8,47,7
1985,7,3,58,13
1986,4,4,50,6
1987,3,15,68,8
1988,5,17,76,
1989,7,7,46,3
1990,8,12,60,4
1991,4,18,77,8
1992,4,12,59,8
1993,4,9,84,2
1994,3,13,88,13
1995,11,6,94,7
1996,9,6,92,5
1997,3,18,95,16
1998,10,20,94,18
1999,8,23,122,22
2000,8,27,157,30
2001,9,22,157,14
2002,4,25,172,22
2003,7,14,158,14
2004,9,11,128,8
2005,15,20,193,13
2006,5,9,226,9
2007,6,11,218,18
2008,8,16,165,5
2009,3,18,151,9
2010,12,17,184,7
2011,7,17,156,8
2012,10,21,136,6
2013,2,9,149,10
2014,6,18,135,4
2015,4,28,160,12
2016,,15,161,10
2017,,7,114,13